,category,Day,n_tokens_title,n_tokens_content,num_hrefs,num_imgs,avg_positive_polarity,avg_negative_polarity,global_subjectivity
28,lifestyle,Monday,10.0,243.0,1.0,0.0,0.333297258297,-0.1775,0.517984307359
29,business,Monday,11.0,723.0,18.0,1.0,0.340572181442,-0.213888888889,0.375048678466
30,business,Monday,8.0,708.0,8.0,1.0,0.291941391941,-0.244444444444,0.491427884285
31,tech,Monday,10.0,633.0,2.0,19.0,0.298032849503,-0.341666666667,0.531972336606
32,tech,Monday,14.0,290.0,0.0,14.0,0.438908128908,-0.177777777778,0.571906729634
33,lifestyle,Monday,10.0,597.0,5.0,1.0,0.419438894439,-0.229166666667,0.467187049062
34,lifestyle,Monday,8.0,204.0,7.0,1.0,0.422181818182,-0.4,0.651940457204
35,lifestyle,Monday,11.0,315.0,4.0,1.0,0.400550964187,-0.320138888889,0.553519570707
36,tech,Monday,10.0,1244.0,27.0,20.0,0.421472119151,-0.230263157895,0.511652567616
37,socmed,Monday,8.0,257.0,9.0,0.0,0.360416666667,-0.392857142857,0.4
38,World,Monday,11.0,799.0,8.0,1.0,0.394523809524,-0.2328125,0.420033670034
39,Entertainment,Monday,14.0,194.0,4.0,0.0,0.545454545455,0.0,0.395588235294
40,tech,Monday,10.0,1036.0,21.0,20.0,0.41857984608,-0.214880952381,0.524163336663
41,tech,Monday,6.0,174.0,0.0,1.0,0.412121212121,0.0,0.588636363636
42,tech,Monday,14.0,1237.0,24.0,42.0,0.403363745959,-0.214880952381,0.507184717798
43,tech,Monday,10.0,1081.0,19.0,20.0,0.423737908182,-0.269736842105,0.536793473822
44,tech,Monday,9.0,1022.0,20.0,20.0,0.419440517289,-0.222916666667,0.510508122241
45,business,Monday,10.0,142.0,2.0,1.0,0.366666666667,-0.3,0.442857142857
46,lifestyle,Monday,10.0,1190.0,25.0,20.0,0.403010936432,-0.236111111111,0.506584209441
47,Entertainment,Monday,12.0,161.0,5.0,0.0,0.427462121212,-0.363888888889,0.57238292011
48,tech,Monday,11.0,1108.0,21.0,20.0,0.39068524971,-0.205740740741,0.499397646187
49,tech,Monday,11.0,1089.0,20.0,20.0,0.404108170311,-0.231547619048,0.49594468032
50,tech,Monday,11.0,214.0,2.0,0.0,0.258333333333,-0.4,0.423076923077
51,tech,Monday,9.0,944.0,21.0,20.0,0.413517593518,-0.204901960784,0.520903679654
52,tech,Monday,9.0,1030.0,21.0,20.0,0.42623760206,-0.231547619048,0.505898268398
53,Entertainment,Monday,11.0,454.0,5.0,1.0,0.362954545455,-0.215476190476,0.467353219697
54,tech,Monday,9.0,1115.0,21.0,20.0,0.417055465368,-0.212354497354,0.506520305092
55,tech,Monday,10.0,555.0,7.0,1.0,0.337964876033,-0.225793650794,0.425089367703
56,lifestyle,Monday,9.0,474.0,11.0,1.0,0.357269119769,-0.338888888889,0.542579860227
57,tech,Monday,8.0,130.0,7.0,0.0,0.353939393939,-0.4,0.381986531987
58,business,Monday,12.0,444.0,9.0,23.0,0.312897609637,0.0,0.462137609865
59,tech,Monday,9.0,280.0,5.0,10.0,0.257251082251,-0.290476190476,0.490943267259
60,tech,Monday,13.0,1024.0,19.0,19.0,0.410137858174,-0.219444444444,0.535241457572
61,tech,Monday,12.0,238.0,3.0,1.0,0.291258741259,0.0,0.455703463203
62,tech,Monday,9.0,1070.0,22.0,20.0,0.412062957619,-0.215384615385,0.513514364423
63,tech,Monday,12.0,463.0,1.0,4.0,0.222137632482,-0.189409722222,0.402304292929
64,tech,Monday,11.0,1005.0,21.0,20.0,0.408075301891,-0.215,0.509792163619
65,tech,Monday,8.0,403.0,3.0,1.0,0.280465367965,-0.172395833333,0.518465543466
66,tech,Monday,7.0,251.0,1.0,1.0,0.178917748918,-0.150925925926,0.462730755834
67,World,Monday,11.0,317.0,7.0,1.0,0.316468253968,-0.188888888889,0.374735449735
68,Entertainment,Monday,12.0,177.0,4.0,1.0,0.416919191919,-0.166666666667,0.574358974359
69,business,Monday,6.0,109.0,3.0,1.0,0.322272727273,-0.1,0.593006993007
70,World,Monday,11.0,399.0,8.0,1.0,0.35841609371,-0.310185185185,0.564637445887
71,tech,Monday,13.0,460.0,4.0,1.0,0.373083778966,-0.260416666667,0.514475108225
72,World,Monday,9.0,443.0,3.0,1.0,0.335294117647,-0.28,0.419907407407
73,socmed,Monday,8.0,218.0,14.0,11.0,0.536111111111,-0.2375,0.521929824561
74,tech,Monday,12.0,988.0,19.0,20.0,0.414875687376,-0.213461538462,0.521697460615
75,lifestyle,Monday,6.0,374.0,7.0,1.0,0.360969387755,-0.130357142857,0.398739495798
76,Entertainment,Monday,5.0,356.0,3.0,12.0,0.359417552145,-0.372619047619,0.435975299211
77,socmed,Monday,9.0,1226.0,10.0,1.0,0.39494047619,-0.257738095238,0.408022359585
78,socmed,Monday,10.0,1121.0,15.0,1.0,0.372304679448,-0.316666666667,0.497292490119
79,World,Tuesday,12.0,288.0,5.0,0.0,0.363888888889,-0.366666666667,0.449867724868
80,World,Tuesday,10.0,414.0,8.0,1.0,0.299597763348,-0.176128472222,0.343411290606
81,tech,Tuesday,11.0,134.0,4.0,9.0,0.412121212121,-0.15,0.406818181818
82,Entertainment,Tuesday,11.0,281.0,5.0,1.0,0.322211122211,-0.278472222222,0.434218460111
83,lifestyle,Tuesday,12.0,499.0,14.0,1.0,0.35854978355,-0.235,0.394949494949
84,tech,Tuesday,9.0,268.0,5.0,9.0,0.28538961039,-0.3,0.405909090909
85,tech,Tuesday,7.0,925.0,20.0,20.0,0.422571548822,-0.198039215686,0.503184096605
86,lifestyle,Tuesday,10.0,261.0,20.0,16.0,0.516666666667,-0.497916666667,0.628888888889
87,business,Tuesday,13.0,306.0,3.0,1.0,0.298582251082,0.0,0.395086580087
88,Entertainment,Tuesday,10.0,909.0,3.0,1.0,0.381027588231,-0.258263888889,0.470415525518
89,tech,Tuesday,12.0,999.0,21.0,20.0,0.422460402343,-0.222916666667,0.525368805951
90,tech,Tuesday,12.0,1011.0,20.0,20.0,0.419490920335,-0.222916666667,0.509571785603
91,Entertainment,Wednesday,10.0,413.0,6.0,13.0,0.344652406417,-0.408333333333,0.446548392084
92,tech,Wednesday,9.0,180.0,1.0,0.0,0.453333333333,-0.1625,0.3675
93,business,Wednesday,9.0,759.0,17.0,1.0,0.28389540567,-0.349404761905,0.601256840644
94,tech,Wednesday,13.0,1226.0,26.0,1.0,0.369680417622,-0.233428571429,0.462272437272
95,Entertainment,Wednesday,6.0,241.0,5.0,1.0,0.318465909091,-0.130555555556,0.518181818182
96,socmed,Wednesday,9.0,168.0,6.0,11.0,0.492361111111,-0.502083333333,0.637719298246
97,tech,Wednesday,10.0,1121.0,20.0,19.0,0.429110442403,-0.295666666667,0.522507090611
98,lifestyle,Wednesday,7.0,1174.0,32.0,1.0,0.376352813853,-0.349831649832,0.460383895532
99,Entertainment,Wednesday,7.0,376.0,3.0,0.0,0.452314814815,-0.283333333333,0.484895833333
100,lifestyle,Wednesday,9.0,142.0,3.0,0.0,0.341666666667,-0.48125,0.489583333333
101,lifestyle,Wednesday,9.0,825.0,23.0,19.0,0.430408850409,-0.210119047619,0.524538239538
102,tech,Wednesday,9.0,883.0,19.0,19.0,0.43958133191,-0.213461538462,0.528352625635
103,tech,Wednesday,6.0,1125.0,36.0,19.0,0.422391173641,-0.187324929972,0.494428661616
104,World,Wednesday,10.0,498.0,7.0,1.0,0.331475468975,-0.193055555556,0.518461619681
105,World,Wednesday,12.0,540.0,1.0,10.0,0.345730027548,-0.283333333333,0.387095959596
106,Entertainment,Wednesday,12.0,855.0,5.0,1.0,0.459168747919,-0.260763888889,0.493133401686
107,lifestyle,Wednesday,11.0,223.0,5.0,0.0,0.254545454545,-0.1875,0.371895424837
108,Entertainment,Wednesday,11.0,349.0,10.0,1.0,0.454978354978,-0.3,0.439393939394
109,lifestyle,Wednesday,7.0,1007.0,24.0,20.0,0.415878332194,-0.2625,0.511071533644
110,Entertainment,Wednesday,13.0,464.0,3.0,8.0,0.342803030303,-0.170138888889,0.426085176085
111,business,Wednesday,9.0,233.0,5.0,1.0,0.283333333333,-0.118518518519,0.183226495726
112,lifestyle,Wednesday,9.0,167.0,2.0,0.0,0.377777777778,-0.433333333333,0.741666666667
113,lifestyle,Wednesday,11.0,825.0,5.0,10.0,0.4440625,-0.320833333333,0.46053228022
114,lifestyle,Wednesday,11.0,1099.0,28.0,20.0,0.414828860029,-0.267647058824,0.525323614294
115,tech,Wednesday,7.0,263.0,2.0,0.0,0.368598068598,-0.343939393939,0.491230275101
116,business,Wednesday,10.0,468.0,7.0,1.0,0.275267379679,-0.52380952381,0.438277511962
117,lifestyle,Wednesday,7.0,346.0,13.0,11.0,0.325284090909,-0.347619047619,0.517505411255
118,lifestyle,Wednesday,9.0,455.0,10.0,1.0,0.353209109731,-0.21164021164,0.468743078627
119,Entertainment,Wednesday,9.0,81.0,2.0,0.0,0.15,-0.2,0.4
120,Entertainment,Wednesday,11.0,308.0,8.0,1.0,0.385884353741,-0.45625,0.539984126984
121,tech,Wednesday,11.0,235.0,5.0,0.0,0.449350649351,-0.125,0.510267857143
122,tech,Wednesday,13.0,141.0,6.0,1.0,0.320454545455,0.0,0.445928030303
123,World,Wednesday,6.0,389.0,9.0,1.0,0.352697756789,-0.322222222222,0.614920634921
124,World,Wednesday,10.0,261.0,12.0,1.0,0.3,-0.110416666667,0.381944444444
125,socmed,Wednesday,9.0,100.0,3.0,1.0,0.161478045764,0.0,0.338221500722
126,Entertainment,Wednesday,8.0,270.0,5.0,1.0,0.381403508772,-0.408333333333,0.607028985507
127,lifestyle,Wednesday,7.0,105.0,4.0,8.0,0.285714285714,-0.125,0.252678571429
128,lifestyle,Wednesday,10.0,258.0,2.0,11.0,0.333333333333,-0.482142857143,0.34380952381
129,Entertainment,Wednesday,10.0,254.0,5.0,0.0,0.31,-0.283333333333,0.391666666667
130,lifestyle,Wednesday,14.0,318.0,7.0,1.0,0.250063131313,-0.413333333333,0.4
131,tech,Wednesday,9.0,965.0,20.0,19.0,0.431277674706,-0.288333333333,0.535146103896
132,tech,Wednesday,11.0,1030.0,19.0,20.0,0.410832208917,-0.222916666667,0.530465367965
133,Entertainment,Wednesday,9.0,231.0,1.0,0.0,0.3,-0.32619047619,0.467346938776
134,tech,Wednesday,8.0,935.0,23.0,28.0,0.420512630829,-0.215384615385,0.540873759688
135,tech,Wednesday,10.0,701.0,11.0,1.0,0.381417748918,-0.300432900433,0.443176623377
136,lifestyle,Wednesday,13.0,328.0,13.0,11.0,0.430909090909,-0.208333333333,0.502765151515
137,lifestyle,Wednesday,13.0,281.0,28.0,10.0,0.315112160567,-0.375,0.403695114409
138,World,Wednesday,12.0,537.0,2.0,1.0,0.334564393939,-0.317083333333,0.465329145492
139,World,Wednesday,10.0,259.0,4.0,0.0,0.301420454545,-0.119047619048,0.317226890756
140,lifestyle,Wednesday,12.0,1455.0,31.0,26.0,0.333874458874,-0.33125,0.251447163947
141,socmed,Wednesday,10.0,1596.0,19.0,8.0,0.367459893048,-0.241005291005,0.453645748571
142,business,Wednesday,6.0,164.0,3.0,1.0,0.358333333333,0.0,0.4
143,business,Wednesday,10.0,424.0,8.0,1.0,0.297124703254,-0.25,0.44202437913
144,Entertainment,Wednesday,8.0,345.0,6.0,1.0,0.406552538371,-0.410227272727,0.55961038961
145,lifestyle,Wednesday,10.0,138.0,1.0,0.0,0.85,-0.295833333333,0.495238095238
146,World,Wednesday,11.0,459.0,10.0,1.0,0.366520562771,-0.234259259259,0.378437323546
147,lifestyle,Wednesday,8.0,794.0,32.0,15.0,0.359363344988,-0.256018518519,0.522451916425
148,tech,Wednesday,11.0,291.0,10.0,1.0,0.321717171717,0.0,0.374286987522
149,World,Wednesday,10.0,614.0,11.0,1.0,0.401498357964,-0.247222222222,0.430985060691
150,lifestyle,Wednesday,7.0,144.0,9.0,1.0,0.52,-0.147916666667,0.391666666667
151,Entertainment,Wednesday,12.0,249.0,2.0,0.0,0.283941058941,-0.34,0.432586580087
152,lifestyle,Wednesday,7.0,142.0,4.0,0.0,0.516,-0.8,0.680769230769
153,tech,Wednesday,10.0,221.0,2.0,1.0,0.178787878788,-0.125,0.457231404959
154,tech,Wednesday,9.0,82.0,3.0,1.0,0.312857142857,0.0,0.498571428571
155,Entertainment,Wednesday,11.0,289.0,3.0,13.0,0.364187327824,-0.445,0.440725578769
156,business,Wednesday,11.0,173.0,3.0,1.0,0.693939393939,-0.585185185185,0.621604938272
157,tech,Wednesday,10.0,957.0,22.0,20.0,0.429134817563,-0.234814814815,0.521199969621
158,World,Wednesday,10.0,372.0,4.0,1.0,0.26303030303,-0.255555555556,0.385322793149
159,lifestyle,Wednesday,8.0,640.0,10.0,1.0,0.336735064935,-0.269717261905,0.424340047707
160,business,Wednesday,9.0,330.0,12.0,1.0,0.366666666667,-0.3125,0.354901960784
161,tech,Wednesday,8.0,453.0,2.0,9.0,0.30295544733,-0.354497354497,0.50700088442
162,tech,Wednesday,11.0,1265.0,21.0,20.0,0.435918351408,-0.290666666667,0.517849243214
163,tech,Wednesday,12.0,981.0,20.0,20.0,0.411764460439,-0.21858974359,0.524681690858
164,business,Wednesday,10.0,381.0,8.0,1.0,0.347809617918,-0.228819444444,0.496912878788
165,tech,Wednesday,12.0,292.0,5.0,0.0,0.402066115702,-0.483333333333,0.479494949495
166,Entertainment,Wednesday,9.0,165.0,8.0,1.0,0.394583333333,-0.116666666667,0.413095238095
167,lifestyle,Wednesday,8.0,1020.0,21.0,19.0,0.430938340938,-0.244230769231,0.525172937029
168,World,Wednesday,9.0,230.0,7.0,1.0,0.6875,-0.285714285714,0.415773809524
169,lifestyle,Wednesday,8.0,123.0,4.0,0.0,0.341666666667,-0.325,0.360416666667
170,tech,Wednesday,8.0,258.0,2.0,1.0,0.359090909091,-0.388095238095,0.394393939394
171,lifestyle,Wednesday,12.0,983.0,21.0,19.0,0.412172272172,-0.212239583333,0.492321322468
172,business,Wednesday,12.0,180.0,3.0,1.0,0.364285714286,-0.1,0.546428571429
173,Entertainment,Wednesday,11.0,272.0,5.0,8.0,0.308383838384,-0.194444444444,0.593048128342
174,Entertainment,Wednesday,11.0,277.0,34.0,15.0,0.253787878788,-0.348333333333,0.483901515152
175,World,Wednesday,11.0,365.0,9.0,1.0,0.271338383838,-0.25,0.447603586889
176,lifestyle,Wednesday,14.0,114.0,1.0,0.0,0.3,-0.54,0.578571428571
177,lifestyle,Wednesday,11.0,1058.0,26.0,20.0,0.405828463203,-0.208035714286,0.512744037009
178,lifestyle,Wednesday,8.0,211.0,12.0,1.0,0.248333333333,-0.427777777778,0.388045634921
179,business,Wednesday,12.0,373.0,7.0,0.0,0.409728234728,-0.287962962963,0.434569433834
180,Entertainment,Thursday,7.0,144.0,12.0,1.0,0.727840909091,0.0,0.367424242424
181,lifestyle,Thursday,9.0,760.0,9.0,0.0,0.322634830447,-0.399458333333,0.508810726311
182,Entertainment,Thursday,13.0,204.0,2.0,1.0,0.380637544274,-0.25,0.373262987013
183,business,Thursday,15.0,481.0,5.0,1.0,0.428070175439,-0.343315018315,0.481073858115
184,Entertainment,Thursday,12.0,246.0,8.0,1.0,0.374242424242,-0.452380952381,0.644372294372
185,tech,Thursday,10.0,182.0,5.0,1.0,0.356565656566,-0.216666666667,0.525852272727
186,business,Thursday,10.0,498.0,9.0,1.0,0.399668911336,-0.253333333333,0.445970575318
187,lifestyle,Thursday,7.0,175.0,4.0,1.0,0.271420454545,-0.166666666667,0.364454545455
188,Entertainment,Thursday,7.0,252.0,5.0,0.0,0.414194577352,-0.297916666667,0.596022727273
189,lifestyle,Thursday,9.0,334.0,7.0,1.0,0.362506764069,-0.353333333333,0.43807409066
190,lifestyle,Thursday,10.0,283.0,5.0,0.0,0.422121212121,-0.33858974359,0.551358024691
191,business,Thursday,12.0,284.0,10.0,1.0,0.461111111111,-0.166666666667,0.489351851852
192,business,Thursday,11.0,1077.0,23.0,20.0,0.428386793929,-0.325208333333,0.535378379482
193,tech,Thursday,6.0,1160.0,45.0,19.0,0.421399513728,-0.21,0.498341579056
194,tech,Thursday,10.0,289.0,8.0,1.0,0.344050802139,-0.20625,0.429008838384
195,Entertainment,Thursday,11.0,848.0,4.0,1.0,0.34908008658,-0.3625,0.457666975881
196,tech,Thursday,12.0,211.0,10.0,0.0,0.412962962963,-0.24375,0.4234375
197,tech,Thursday,10.0,951.0,6.0,1.0,0.33437323546,-0.229100529101,0.467841186591
198,tech,Thursday,11.0,286.0,5.0,0.0,0.303428571429,-0.251785714286,0.418035714286
199,Entertainment,Thursday,13.0,577.0,16.0,11.0,0.318158143939,-0.227579365079,0.46220043573
200,Entertainment,Thursday,7.0,505.0,12.0,6.0,0.411137775268,-0.1,0.396029986274
201,business,Thursday,8.0,255.0,6.0,1.0,0.162836700337,-0.210515873016,0.497399891775
202,lifestyle,Thursday,14.0,252.0,8.0,0.0,0.338528138528,-0.269444444444,0.353143939394
203,World,Thursday,9.0,757.0,11.0,1.0,0.381821273964,-0.227380952381,0.546999963314
204,World,Thursday,9.0,152.0,4.0,0.0,0.05,0.0,0.366666666667
205,World,Thursday,10.0,357.0,6.0,1.0,0.333818027211,-0.181111111111,0.486006683375
206,lifestyle,Thursday,13.0,326.0,3.0,0.0,0.504214876033,-0.33612745098,0.610377046325
207,lifestyle,Thursday,8.0,1314.0,27.0,20.0,0.401201562665,-0.247058823529,0.522832519163
208,lifestyle,Thursday,6.0,397.0,11.0,1.0,0.370163457232,-0.141071428571,0.478346653347
209,tech,Thursday,8.0,767.0,6.0,10.0,0.420539579468,-0.258333333333,0.487274531025
210,World,Thursday,10.0,317.0,6.0,1.0,0.345238095238,-0.0916666666667,0.392424242424
211,lifestyle,Thursday,9.0,245.0,15.0,10.0,0.418333333333,-0.35,0.500980392157
212,Entertainment,Thursday,10.0,891.0,10.0,1.0,0.29641825229,-0.313888888889,0.44018572825
213,tech,Thursday,7.0,1121.0,12.0,1.0,0.352426470588,-0.214035087719,0.409411764706
214,business,Thursday,11.0,993.0,12.0,1.0,0.413913571808,-0.278826530612,0.484980477039
215,tech,Thursday,13.0,309.0,7.0,1.0,0.380351239669,-0.5875,0.498076599327
216,lifestyle,Thursday,9.0,174.0,8.0,1.0,0.242424242424,-0.071875,0.292016317016
217,lifestyle,Thursday,11.0,159.0,9.0,1.0,0.339285714286,-0.168518518519,0.55625
218,lifestyle,Thursday,8.0,449.0,38.0,15.0,0.615714285714,-0.406481481481,0.418631897203
219,Entertainment,Thursday,13.0,243.0,4.0,0.0,0.28,-0.2,0.416666666667
220,Entertainment,Thursday,9.0,222.0,7.0,1.0,0.207575757576,-0.385714285714,0.486038961039
221,business,Thursday,12.0,160.0,2.0,0.0,0.227272727273,-0.15625,0.198636363636
222,Entertainment,Thursday,8.0,1015.0,38.0,11.0,0.347048678272,-0.243055555556,0.404146869391
223,lifestyle,Thursday,8.0,344.0,14.0,1.0,0.519480519481,-0.340277777778,0.547159090909
224,lifestyle,Thursday,10.0,1028.0,29.0,20.0,0.414022232911,-0.213461538462,0.540599876314
225,business,Thursday,11.0,347.0,7.0,0.0,0.315647804576,-0.25,0.43047017797
226,tech,Thursday,8.0,848.0,21.0,20.0,0.425672824828,-0.230753968254,0.52927469356
227,business,Thursday,11.0,255.0,5.0,1.0,0.344128787879,-0.113492063492,0.422962709805
228,lifestyle,Thursday,8.0,424.0,12.0,1.0,0.366161616162,-0.367901234568,0.449412511608
229,tech,Thursday,8.0,1289.0,7.0,5.0,0.328844942936,-0.197445436508,0.407215856039
230,World,Thursday,10.0,286.0,3.0,1.0,0.361428571429,-0.139583333333,0.446778711485
231,business,Thursday,10.0,347.0,3.0,1.0,0.342765567766,-0.166666666667,0.407837301587
232,lifestyle,Thursday,10.0,280.0,6.0,0.0,0.452380952381,-0.276893939394,0.612162162162
233,Entertainment,Thursday,8.0,396.0,5.0,1.0,0.38449197861,-0.406666666667,0.48375
234,Entertainment,Thursday,7.0,665.0,3.0,1.0,0.699074074074,-0.246666666667,0.358695652174
235,Entertainment,Thursday,7.0,428.0,19.0,1.0,0.54696969697,-0.330357142857,0.572222222222
236,business,Thursday,10.0,727.0,4.0,1.0,0.318576978577,-0.189583333333,0.427770562771
237,lifestyle,Thursday,12.0,270.0,6.0,1.0,0.229626623377,-0.417857142857,0.4952725305
238,lifestyle,Thursday,8.0,322.0,6.0,1.0,0.457660455487,-0.250115740741,0.485769400353
239,socmed,Thursday,7.0,518.0,11.0,1.0,0.48961038961,-0.35,0.598638344227
240,business,Thursday,16.0,487.0,6.0,1.0,0.419237012987,-0.258333333333,0.466230759981
241,lifestyle,Thursday,11.0,264.0,6.0,1.0,0.322835497835,-0.472916666667,0.470687645688
242,tech,Thursday,11.0,149.0,3.0,1.0,0.217272727273,0.0,0.286363636364
243,lifestyle,Thursday,12.0,62.0,3.0,0.0,0.533333333333,-0.277777777778,0.466666666667
244,lifestyle,Thursday,8.0,75.0,2.0,0.0,0.191666666667,-0.155555555556,0.380277777778
245,business,Thursday,16.0,143.0,2.0,0.0,0.4125,-0.466666666667,0.478333333333
246,tech,Thursday,7.0,1154.0,23.0,19.0,0.407444359562,-0.24362745098,0.504117734118
247,tech,Thursday,8.0,1303.0,19.0,34.0,0.43321451598,-0.241946778711,0.516890272262
248,business,Thursday,8.0,494.0,6.0,1.0,0.379494949495,-0.125,0.470427489177
249,lifestyle,Thursday,12.0,213.0,2.0,0.0,0.458333333333,-0.209375,0.588461538462
250,tech,Thursday,11.0,180.0,2.0,1.0,0.232386363636,-0.125,0.420867768595
251,Entertainment,Thursday,6.0,106.0,2.0,0.0,0.136363636364,0.0,0.75
252,business,Thursday,7.0,606.0,7.0,1.0,0.307054730983,-0.246527777778,0.339174603175
253,lifestyle,Thursday,9.0,339.0,4.0,0.0,0.500769230769,-0.312148148148,0.56041218638
254,lifestyle,Thursday,8.0,279.0,13.0,1.0,0.32303030303,-0.15625,0.400963636364
255,tech,Thursday,9.0,340.0,2.0,0.0,0.287925170068,-0.303517316017,0.422887864823
256,tech,Thursday,8.0,962.0,14.0,1.0,0.369693034238,-0.226050420168,0.456088238003
257,tech,Thursday,12.0,135.0,2.0,0.0,0.136363636364,-0.110416666667,0.210909090909
258,tech,Thursday,12.0,185.0,4.0,1.0,0.276666666667,-0.170833333333,0.525
259,business,Thursday,12.0,344.0,2.0,1.0,0.380519480519,-0.227579365079,0.328571428571
260,business,Friday,12.0,698.0,13.0,1.0,0.309614845938,-0.238888888889,0.334233766234
261,lifestyle,Friday,13.0,310.0,4.0,0.0,0.621428571429,-0.2125,0.571428571429
262,World,Friday,8.0,461.0,8.0,1.0,0.380918560606,-0.247916666667,0.54007996633
263,tech,Friday,9.0,318.0,7.0,0.0,0.280631868132,-0.108333333333,0.384428571429
264,lifestyle,Friday,10.0,294.0,4.0,0.0,0.53,-0.368072916667,0.524117647059
265,business,Friday,9.0,930.0,7.0,1.0,0.328713768116,-0.367222222222,0.463465408049
266,business,Friday,10.0,682.0,11.0,1.0,0.320833333333,-0.307589285714,0.498401360544
267,lifestyle,Friday,10.0,349.0,10.0,1.0,0.260269360269,-0.25,0.399015151515
268,tech,Friday,5.0,1302.0,53.0,19.0,0.429981601732,-0.231972789116,0.509676028578
269,tech,Friday,13.0,220.0,5.0,1.0,0.385714285714,-0.3125,0.411706349206
270,Entertainment,Friday,13.0,140.0,2.0,0.0,0.491666666667,-0.4,0.621717171717
271,Entertainment,Friday,12.0,341.0,4.0,1.0,0.4,-0.155555555556,0.441503267974
272,World,Friday,9.0,537.0,3.0,13.0,0.457857142857,-0.436742424242,0.542916666667
273,socmed,Friday,8.0,358.0,4.0,1.0,0.247665429808,-0.207142857143,0.504063678257
274,Entertainment,Friday,11.0,221.0,8.0,1.0,0.621487603306,0.0,0.373717948718
275,tech,Friday,10.0,195.0,5.0,1.0,0.45625,0.0,0.441666666667
276,lifestyle,Friday,10.0,604.0,13.0,1.0,0.348286713287,-0.202380952381,0.585979755539
277,tech,Friday,11.0,707.0,3.0,1.0,0.338532555879,-0.291964285714,0.467240215924
278,World,Friday,10.0,331.0,8.0,1.0,0.395292207792,-0.190277777778,0.364208588347
279,tech,Friday,9.0,529.0,2.0,18.0,0.481020733652,-0.2125,0.421691919192
280,socmed,Friday,6.0,358.0,24.0,1.0,0.41375,-0.257407407407,0.492621527778
281,World,Friday,11.0,877.0,45.0,1.0,0.603076923077,-0.228571428571,0.488382704252
282,lifestyle,Friday,8.0,270.0,5.0,0.0,0.371844821845,-0.26875,0.449921576009
283,lifestyle,Friday,14.0,233.0,10.0,7.0,0.5,-0.233333333333,0.511706349206
284,Entertainment,Friday,8.0,264.0,3.0,0.0,0.3,-0.275,0.433333333333
285,Entertainment,Friday,8.0,148.0,6.0,0.0,0.394949494949,-0.116666666667,0.494343434343
286,Entertainment,Friday,10.0,315.0,3.0,1.0,0.435416666667,-0.33125,0.458333333333
287,World,Friday,14.0,696.0,5.0,1.0,0.372549019608,-0.233744855967,0.399042145594
